game,score,train_time,len_buff
2,-3,0.1522,270
3,-3,0.1568,411
4,-3,0.1577,568
5,-4,0.1664,721
1,-2,0.1563,133
2,-3,0.1557,274
3,-3,0.1614,432
4,-3,0.1605,589
5,-3,0.1637,726
1,-4,0.1545,133
2,-4,0.163,274
3,-3,0.1487,407
4,-3,0.1532,548
5,-4,0.1583,681
1,-3,0.1754,145
2,-4,0.1668,286
3,-3,0.1534,415
4,-5,0.1616,552
5,-4,0.1709,701
6,-4,5.1323,838
7,-4,4.5954,979
8,-4,0.3297,1116
9,-4,0.3729,1249
1,-4,0.1767,153
2,-4,0.1616,290
3,-3,0.1634,431
4,-3,0.1632,568
5,-4,0.1774,713
6,-4,4.3575,839
7,-3,0.613,980
8,-3,0.5597,1117
9,-5,4.2353,1262
10,-3,0.2502,1403
11,-4,3.7503,1532
12,-3,0.2488,1673
13,-4,3.9607,1807
14,-3,0.2497,1948
15,-4,4.3239,2097
16,-4,0.2558,2242
17,-3,0.2525,2387
18,-4,4.1304,2548
19,-2,5.0659,2717
20,-4,4.5929,2870
21,-3,0.2748,3019
22,-3,0.2523,3160
23,-4,4.1507,3298
24,-4,0.2585,3435
25,-3,4.6504,3592
26,-3,0.2801,3741
27,-3,3.3925,3874
28,-4,0.2594,4015
29,-4,0.2488,4144
30,-2,0.249,4277
31,-1,1.2579,4297
32,-4,0.2672,4426
33,-4,0.2639,4583
34,-2,2.7495,4667
35,-3,0.2553,4800
36,-4,0.2518,4937
37,-4,0.2609,5078
38,-4,3.27,5203
39,-3,0.2717,5336
40,-3,0.3068,5485
41,-5,0.2571,5626
42,-3,0.2622,5759
43,-3,0.2692,5912
44,-3,0.2581,6049
45,0,1.4166,6053
46,-3,0.2553,6182
47,-2,1.9627,6242
1,0,0.1914,180
2,1,0.2041,421
3,0,0.2126,686
4,-1,0.2188,962
5,-2,0.2072,1207
6,2,9.4674,1500
1,-1,0.2044,221
2,-2,0.1722,390
3,1,0.231,683
4,2,0.206,925
5,-4,0.1776,1110
6,0,7.2885,1340
7,0,9.5803,1642
8,-1,5.9131,1834
9,-3,6.7775,2047
10,1,7.2076,2276
11,0,8.8624,2541
12,2,11.034,2876
13,-1,6.197,3069
14,0,12.8118,3470
15,4,12.1066,3839
16,0,9.7718,4144
17,0,10.0576,4465
18,-1,1.0644,4634
19,1,10.3966,4943
20,-1,6.1985,5140
21,-1,7.717,5381
22,0,8.6036,5650
23,4,13.1685,6039
24,-1,0.417,6252
25,-2,1.2043,6393
26,0,6.9298,6602
27,-2,0.3013,6811
28,-3,7.3616,7036
29,1,10.3781,7349
30,-2,7.1351,7566
31,2,1.8831,7859
32,0,9.7143,8147
33,4,10.2128,8446
34,-1,5.7304,8611
35,1,9.8384,8900
36,1,9.7692,9185
37,-2,0.4177,9394
38,-2,1.2356,9527
39,0,7.7101,9735
40,0,1.3011,9976
41,-2,8.7834,10257
42,-3,5.864,10430
43,3,13.1024,10821
44,0,8.732,11078
45,1,10.9738,11403
46,1,0.4002,11728
47,0,6.8189,11929
48,-2,8.1795,12177
49,-1,6.1286,12361
